,province_1,province_2,locality,street,lat,lon
8236,Центральный федеральный округ,Москва,Москва,улица Земляной Вал,55.762201,37.658176
8237,Центральный федеральный округ,Москва,Москва,Неглинная улица,55.763868,37.620573
8238,Центральный федеральный округ,Москва,Москва,улица Земляной Вал,55.762368,37.657718
8239,Центральный федеральный округ,Москва,Москва,Бутиковский переулок,55.737801,37.602184
8240,Центральный федеральный округ,Москва,Москва,Трубная площадь,55.766491,37.622333
8241,Центральный федеральный округ,Москва,Москва,Трубная площадь,55.766491,37.622333
8242,Центральный федеральный округ,Москва,Москва,Трубная площадь,55.766491,37.622333
8243,Центральный федеральный округ,Москва,Москва,Дубининская улица,55.723886,37.636832
8244,Центральный федеральный округ,Москва,Москва,Летниковская улица,55.724824,37.642626
8245,Центральный федеральный округ,Москва,Москва,1-я Тверская-Ямская улица,55.774563,37.587128
8246,Центральный федеральный округ,Москва,Москва,1-я Тверская-Ямская улица,55.774563,37.587128
8247,Центральный федеральный округ,Москва,Москва,Серебряническая набережная,55.750504,37.653182
8248,Центральный федеральный округ,Москва,Москва,Серебряническая набережная,55.750504,37.653182
8249,Центральный федеральный округ,Москва,Москва,улица Большая Дмитровка,55.76565,37.610844
8250,Центральный федеральный округ,Москва,Москва,улица Большая Дмитровка,55.76565,37.610844
8251,Центральный федеральный округ,Москва,Москва,улица Большая Дмитровка,55.76565,37.610844
8252,Центральный федеральный округ,Москва,Москва,Таганская улица,55.741242,37.658706
8253,Центральный федеральный округ,Москва,Москва,Таганская улица,55.741242,37.658706
8254,Центральный федеральный округ,Москва,Москва,Таганская улица,55.741242,37.658706
8255,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8256,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8257,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8258,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
8259,Центральный федеральный округ,Москва,Москва,Верхняя Красносельская улица,55.785513,37.665408
